name,voltage_kv,operator,lat,lon
楠変電所,66.0,東京電力パワーグリッド,36.24047078441606,139.57353499745864
氏家変電所,66.0,東京電力パワーグリッド,36.68570479048504,139.9656652656476
水代変電所,66.0,東京電力パワーグリッド,36.31807735090541,139.71941774688784
江曽島変電所,66.0,東京電力パワーグリッド,36.525314916118475,139.86317438648695
沼和田変電所,66.0,東京電力パワーグリッド,36.35852652595072,139.73666817525972
浅原変電所,66.0,東京電力パワーグリッド,36.4510681765754,139.28336380147994
海老瀬変電所,66.0,東京電力パワーグリッド,36.215778946202484,139.6428521949084
深津変電所,66.0,東京電力パワーグリッド,36.53631554857605,139.81218560262468
清水変電所,66.0,東京電力パワーグリッド,36.474821977473184,140.06575996408847
清滝新細尾町変電所_2,66.0,,36.72816271696705,139.54350296310278
湯津上変電所,66.0,東京電力パワーグリッド,36.81811080388475,140.09553038253176
烏山変電所,66.0,東京電力パワーグリッド,36.673645104230765,140.14735998080792
片柳変電所,66.0,東京電力パワーグリッド,36.36833394890561,139.71450849500434
牛谷変電所,66.0,東京電力パワーグリッド,36.19754285199391,139.73644834036622
犬伏変電所,66.0,東京電力パワーグリッド,36.32298346007269,139.6221966224909
玉生変電所,66.0,東京電力パワーグリッド,36.77157588798895,139.84865758774345
生品変電所,66.0,東京電力パワーグリッド,36.32634326682357,139.28999643199498
田島町変電所,66.0,東京電力パワーグリッド,36.300225097472534,139.56030401108197
田沼変電所,66.0,東京電力パワーグリッド,36.355545203440116,139.5767343632438
相生変電所,66.0,東京電力パワーグリッド,36.40429630001285,139.3014763766423
真壁変電所,66.0,東京電力パワーグリッド,36.289113870507265,140.08169520108498
真岡変電所,66.0,東京電力パワーグリッド,36.433537898339395,140.00339418238997
矢板変電所,66.0,東京電力パワーグリッド,36.81511227860857,139.9279083725297
石上変電所,66.0,東京電力パワーグリッド,36.863348020973,139.94878581010983
石橋変電所,66.0,東京電力パワーグリッド,36.437726957992815,139.85975600537935
神戸変電所,66.0,東京電力パワーグリッド,36.54027321883059,139.35215195405277
稲沢変電所,66.0,東京電力パワーグリッド,36.916552013409046,140.12548846316128
籠原変電所,66.0,東日本旅客鉄道株式会社,36.16774086176376,139.34384704829583
粟野変電所,66.0,東京電力パワーグリッド,36.48985248340816,139.7092794906762
結城変電所,66.0,東京電力パワーグリッド,36.30331489763835,139.88271360824297
総和変電所,66.0,東京電力パワーグリッド,36.17754491912989,139.7639748205333
総社町変電所,66.0,東京電力パワーグリッド,36.405421299763425,139.7903514801662
羽生変電所 (Hanyū Hendensho),66.0,東京電力パワーグリッド,36.17625943952762,139.5417869862512
萱橋変電所,66.0,東京電力パワーグリッド,36.33164395265721,139.87929209303894
葉鹿変電所,66.0,東京電力パワーグリッド,36.366360437087785,139.38935448675534
葛生変電所,66.0,東京電力パワーグリッド,36.395452819540495,139.6046221009116
藪塚変電所,66.0,東武鉄道株式会社,36.34388877446106,139.32812829845147
西富山変電所,66.0,東京電力パワーグリッド,36.90664856151645,139.98444470634547
西那須野変電所,66.0,東日本旅客鉄道株式会社,36.88950028621126,139.99073654267812
諸川変電所,66.0,東京電力パワーグリッド,36.197128216622296,139.81437052642164
赤麻変電所,66.0,東京電力パワーグリッド,36.276911599689235,139.6662144909431
足利変電所,66.0,東京電力パワーグリッド,36.340983045166276,139.43347602839245
通洞変電所,66.0,古河機械金属株式会社・東京電力パワーグリッド,36.632246405758146,139.43668137290652
邑楽開閉所,66.0,東京電力パワーグリッド,36.265467573344665,139.43534061593766
都賀変電所,66.0,東京電力パワーグリッド,36.437920277955385,139.75140896431498
長田変電所,66.0,東京電力パワーグリッド,36.435811300002925,139.9661401392214
関城変電所,66.0,東京電力パワーグリッド,36.24844790830314,139.92954836391587
関谷変電所,66.0,東京電力パワーグリッド,36.95085156332815,139.88724956138824
雀宮変電所,66.0,東京電力パワーグリッド,36.499078642535984,139.8544446293716
青柳変電所,66.0,東京電力パワーグリッド,36.22346896928175,139.51387153352303
鞍掛変電所,66.0,東京電力パワーグリッド,36.23138615260564,139.4638254098791
館林変電所 (Tatebayashi Hendensho),66.0,東京電力パワーグリッド,36.25352353350841,139.53073624085582
馬場通変電所,66.0,東京電力パワーグリッド,36.5621226,139.8841515
馬頭変電所,66.0,東京電力パワーグリッド,36.739789265720724,140.1552516647203
高林変電所,66.0,東京電力パワーグリッド,36.26592194501337,139.36976781094972
鬼怒川変電所,66.0,東京電力パワーグリッド,36.8294317817677,139.71347443090642
鶴田変電所,66.0,東京電力パワーグリッド,36.54516424665183,139.86492884899087
鹿沼変電所,66.0,東京電力パワーグリッド,36.567235176400544,139.76141678624984
黒磯変電所,66.0,東京電力パワーグリッド,36.96672564742618,140.04159185262668
